"DateTime";"Sademäärä";"Keskilämpötila";"Alin lämpötila";"Ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen alin lämpötila";"Tavanomainen alin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen alin lämpötila";"Melko tavanomainen alin lämpötila"
"2015-10-02";0;13.8;12;17.1;11.1;12.7;5.1;7.7;8.5;14.6;1.6;10.3
"2015-10-03";0;10.4;8;14.5;10.9;12.5;4.9;7.5;8.3;14.4;1.4;10.2
"2015-10-04";0;11.5;6.1;15.1;10.7;12.3;4.8;7.4;8.1;14.2;1.3;10
"2015-10-05";0;6.4;4.6;12.5;10.5;12.1;4.7;7.3;7.8;14;1.1;9.9
"2015-10-06";0;3.5;-0.1;7.3;10.3;11.9;4.5;7.2;7.6;13.8;0.9;9.8
"2015-10-07";0;3.1;-1.6;7.8;10.1;11.8;4.4;7;7.4;13.6;0.8;9.7
"2015-10-08";0;2.1;-1.1;6.3;10;11.6;4.2;6.9;7.2;13.4;0.6;9.5
"2015-10-09";0;2.1;-2.2;6.3;9.8;11.4;4.1;6.7;6.9;13.3;0.5;9.4
"2015-10-10";0;3.2;2.4;5.3;9.6;11.2;4;6.6;6.7;13.1;0.3;9.2
"2015-10-11";0;3.3;-1.3;8.9;9.4;11;3.9;6.4;6.5;12.9;0.2;9.1
"2015-10-12";0;5.3;1.3;11.1;9.2;10.8;3.7;6.3;6.3;12.7;0;9
"2015-10-13";0;5.4;1.8;10.5;9;10.6;3.6;6.1;6;12.5;-0.1;8.8
"2015-10-14";0;7.1;3.4;12.2;8.8;10.5;3.5;6;5.8;12.3;-0.3;8.7
"2015-10-15";0;6.4;2.1;11.2;8.5;10.3;3.3;5.8;5.6;12.1;-0.5;8.5
"2015-10-16";0;6.7;4;10.3;8.4;10.1;3.2;5.7;5.3;11.9;-0.6;8.4
"2015-10-17";0;4.7;-0.2;9.7;8.2;9.9;3.1;5.6;5.1;11.8;-0.8;8.3
"2015-10-18";0;7;4.4;10.6;8;9.7;2.9;5.4;4.9;11.6;-0.9;8.1
"2015-10-19";0;7.1;4;10.8;7.8;9.6;2.8;5.2;4.6;11.4;-1.1;8
"2015-10-20";0;6.1;4;7.9;7.6;9.4;2.7;5.1;4.4;11.2;-1.2;7.8
"2015-10-21";0;8.3;6.7;9.4;7.4;9.2;2.5;4.9;4.2;11;-1.4;7.7
"2015-10-22";5.2;8.8;7.2;9.5;7.2;9;2.4;4.7;3.9;10.9;-1.6;7.5
"2015-10-23";2.8;10.3;9;12.4;7;8.8;2.2;4.6;3.7;10.7;-1.7;7.4
"2015-10-24";0;7.3;4.7;10.6;6.8;8.7;2.1;4.4;3.5;10.5;-1.9;7.2
"2015-10-25";6.8;9.6;5.3;10.5;6.6;8.5;2;4.3;3.3;10.4;-2.1;7.1
"2015-10-26";0;6.8;5.5;9.6;6.4;8.3;1.8;4.1;3;10.2;-2.3;6.9
"2015-10-27";0;4.8;1.5;8.7;6.1;8.1;1.7;3.9;2.8;10.1;-2.4;6.8
"2015-10-28";0;0.4;-3.4;5.4;5.9;7.9;1.5;3.8;2.6;9.9;-2.6;6.6
"2015-10-29";0;3.8;-1.1;7.7;5.7;7.8;1.3;3.6;2.4;9.7;-2.7;6.5
"2015-10-30";0;2;0.1;5.3;5.5;7.6;1.2;3.4;2.2;9.6;-2.9;6.3
"2015-10-31";0;7.2;-0.1;9.7;5.3;7.4;1;3.3;2;9.4;-3.1;6.2